district,pop2013,homeless2013,pcthomeless2013,pop2004,homeless2004,pcthomeless2004,changehomeless,changepop
Buffalo RE-4J,318,0,0,306,0,0.0,n/a,3.9
Creede School District,80,3,3.8,158,0,0.0,n/a,-49.4
Custer County C-1,411,0,0,527,0,0.0,n/a,-22.0
Douglas County RE-1,66230,590,0.9,44761,0,0.0,n/a,48.0
Fremont RE-2,1450,1,0.1,1843,0,0.0,n/a,-21.3
Genoa-Hugo C-113,178,2,1.1,203,0,0.0,n/a,-12.3
Hinsdale County RE-1,80,0,0,83,0,0.0,n/a,-3.6
McClave RE-2,266,0,0,272,0,0.0,n/a,-2.2
Moffat County RE-1,2241,10,0.4,2402,0,0.0,n/a,-6.7
San Juan BOCES,48,0,0,59,0,0.0,n/a,-18.6
South Routt RE-3,407,0,0,436,0,0.0,n/a,-6.7
West Grand 1-JT,440,0,0,520,0,0.0,n/a,-15.4
Telluride R-1,842,0,0,561,0,0,n/a,50.1
Johnstown-Milliken RE-5J,3548,33,0.9,2368,0,0,n/a,49.8
Edison 54-JT,191,0,0,129,0,0,n/a,48.1
Prairie RE-11,196,0,0,138,0,0,n/a,42.0
Fountain 8,8089,210,2.6,5963,0,0,n/a,35.7
Steamboat Springs RE-2,2401,4,0.2,1930,0,0,n/a,24.4
Garfield RE-2,4818,139,2.9,3879,0,0,n/a,24.2
Plainview RE-2,72,0,0,58,0,0,n/a,24.1
Idalia RJ-3,182,0,0,148,0,0,n/a,23.0
Byers 32J,647,5,0.8,535,0,0,n/a,20.9
Gunnison Watershed RE-1J,1934,0,0,1604,0,0,n/a,20.6
Bethune R-5,132,2,1.5,112,0,0,n/a,17.9
Plateau RE-5,196,0,0,168,0,0,n/a,16.7
Arickaree R-2,114,1,0.9,98,0,0,n/a,16.3
Expeditionary BOCES,387,1,0.3,334,0,0,n/a,15.9
Strasburg 31J,1072,1,0.1,932,0,0,n/a,15.0
Briggsdale RE-10,162,0,0,141,0,0,n/a,14.9
Adams County 14,7598,507,6.7,6638,0,0,n/a,14.5
Summit RE-1,3287,14,0.4,2909,0,0,n/a,13.0
Roaring Fork RE-1,5628,1,0,4993,0,0,n/a,12.7
Lewis-Palmer 38,6275,1,0,5610,0,0,n/a,11.9
Meeker RE1,710,0,0,637,0,0,n/a,11.5
Manitou Springs 14,1480,40,2.7,1333,0,0,n/a,11.0
Lone Star 101,121,0,0,109,0,0,n/a,11.0
Sanford 6J,395,0,0,360,0,0,n/a,9.7
Dolores County RE-2,293,0,0,270,0,0,n/a,8.5
Silverton 1,64,3,4.7,59,0,0,n/a,8.5
Otis R-3,205,0,0,189,0,0,n/a,8.5
Ridgway R-2,343,4,1.2,317,0,0,n/a,8.2
Aspen 1,1728,0,0,1604,0,0,n/a,7.7
Fowler R-4J,409,0,0,380,0,0,n/a,7.6
Bayfield 10 JT-R,1340,6,0.4,1246,0,0,n/a,7.5
Rangely RE-4,555,2,0.4,517,0,0,n/a,7.4
Sargent RE-33J,447,0,0,419,0,0,n/a,6.7
Haxtun RE-2J,326,0,0,307,0,0,n/a,6.2
Cheraw 31,231,0,0,220,0,0,n/a,5.0
Garfield 16,1050,19,1.8,1000,0,0,n/a,5.0
Dolores RE-4A,775,21,2.7,742,0,0,n/a,4.4
Ignacio 11-JT,763,3,0.4,738,0,0,n/a,3.4
Kit Carson R-1,114,0,0,111,0,0,n/a,2.7
Hoehne Reorganized 3,359,0,0,358,0,0,n/a,0.3
Burlington RE-6J,828,9,1.1,826,0,0,n/a,0.2
Ellicott 22,955,0,0,966,0,0,n/a,-1.1
Hi-Plains R-23,121,0,0,125,0,0,n/a,-3.2
Peyton 23-JT,606,0,0,629,0,0,n/a,-3.7
Sangre De Cristo RE-22J,324,0,0,337,0,0,n/a,-3.9
Big Sandy 100J,318,0,0,331,0,0,n/a,-3.9
Rocky Ford R-2,805,0,0,843,0,0,n/a,-4.5
Frenchman RE-3,203,0,0,215,0,0,n/a,-5.6
Platte Valley RE-3,109,0,0,116,0,0,n/a,-6.0
Park County RE-2,590,0,0,632,0,0,n/a,-6.6
Norwood R-2J,272,0,0,292,0,0,n/a,-6.8
Plateau Valley 50,450,0,0,485,0,0,n/a,-7.2
Elizabeth C-1,2621,0,0,2841,0,0,n/a,-7.7
Lake County R-1,1110,1,0.1,1210,0,0,n/a,-8.3
Wiggins RE-50J,563,15,2.7,620,0,0,n/a,-9.2
Canon City RE-1,3650,5,0.1,4025,0,0,n/a,-9.3
Moffat 2,189,21,11.1,209,0,0,n/a,-9.6
Bennett 29J,1013,28,2.8,1133,0,0,n/a,-10.6
Eads RE-1,181,0,0,205,0,0,n/a,-11.7
Holly RE-3,299,0,0,340,0,0,n/a,-12.1
Ault-Highland RE-9,765,23,3,870,0,0,n/a,-12.1
Springfield RE-4,299,0,0,341,0,0,n/a,-12.3
Valley RE-1,2305,33,1.4,2631,0,0,n/a,-12.4
Yuma 1,813,23,2.8,928,0,0,n/a,-12.4
Monte Vista C-8,1128,3,0.3,1291,0,0,n/a,-12.6
Sierra Grande R-30,256,8,3.1,294,0,0,n/a,-12.9
Swink 33,336,0,0,390,0,0,n/a,-13.8
Hayden RE-1,415,0,0,488,0,0,n/a,-15.0
Mountain BOCES,111,17,15.3,131,0,0,n/a,-15.3
Montezuma-Cortez RE-1,2837,0,0,3375,0,0,n/a,-15.9
North Conejos RE-1J,1005,0,0,1208,0,0,n/a,-16.8
Arriba-Flagler C-20,187,4,2.1,226,0,0,n/a,-17.3
